case_index	run_label	matrix_stage	initialization_family	kernel	max_superdroplets	collision_timestep_s	observation_timestep_s	end_time_s	model_threads	member_index	initialization_seed	collision_seed	controlled_bundle_label
103	golovin_controlled_high_resolution_convergence_v1_N032768_dt0p1_m003	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	32768	0.1	300.0	3600.0	1	3	not_applicable	534187306034655842	golovin_controlled_highres_N032768_v1
104	golovin_controlled_high_resolution_convergence_v1_N032768_dt0p1_m004	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	32768	0.1	300.0	3600.0	1	4	not_applicable	14581096088825864815	golovin_controlled_highres_N032768_v1
105	golovin_controlled_high_resolution_convergence_v1_N032768_dt0p1_m005	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	32768	0.1	300.0	3600.0	1	5	not_applicable	12444949620549981047	golovin_controlled_highres_N032768_v1
106	golovin_controlled_high_resolution_convergence_v1_N032768_dt0p1_m006	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	32768	0.1	300.0	3600.0	1	6	not_applicable	9069786217766662484	golovin_controlled_highres_N032768_v1
107	golovin_controlled_high_resolution_convergence_v1_N032768_dt0p1_m007	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	32768	0.1	300.0	3600.0	1	7	not_applicable	5539113922053664081	golovin_controlled_highres_N032768_v1
108	golovin_controlled_high_resolution_convergence_v1_N032768_dt0p1_m008	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	32768	0.1	300.0	3600.0	1	8	not_applicable	15802568409609973753	golovin_controlled_highres_N032768_v1
109	golovin_controlled_high_resolution_convergence_v1_N032768_dt0p1_m009	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	32768	0.1	300.0	3600.0	1	9	not_applicable	8519879869256862520	golovin_controlled_highres_N032768_v1
110	golovin_controlled_high_resolution_convergence_v1_N032768_dt0p1_m010	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	32768	0.1	300.0	3600.0	1	10	not_applicable	2953167877143624221	golovin_controlled_highres_N032768_v1
111	golovin_controlled_high_resolution_convergence_v1_N032768_dt0p1_m011	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	32768	0.1	300.0	3600.0	1	11	not_applicable	5673245174319423198	golovin_controlled_highres_N032768_v1
112	golovin_controlled_high_resolution_convergence_v1_N032768_dt0p1_m012	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	32768	0.1	300.0	3600.0	1	12	not_applicable	2304917047849105845	golovin_controlled_highres_N032768_v1
113	golovin_controlled_high_resolution_convergence_v1_N032768_dt0p1_m013	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	32768	0.1	300.0	3600.0	1	13	not_applicable	13150517495322306248	golovin_controlled_highres_N032768_v1
114	golovin_controlled_high_resolution_convergence_v1_N032768_dt0p1_m014	golovin_controlled_high_resolution_convergence_v1	controlled	golovin	32768	0.1	300.0	3600.0	1	14	not_applicable	10788262699505996564	golovin_controlled_highres_N032768_v1
