ensemble_size,log_radius_bins,lower_max_superdroplets,upper_max_superdroplets,time_s,metric,lower_estimate,upper_estimate,absolute_change,one_sided_95_upper_bound,minimum_worthwhile_improvement,diminishing_returns_pass
60,500,16384,32768,1200.0,golovin_relative_error_radius_moment_6_um6_m3,0.0019223256073192954,-0.0015398865870567546,0.00346221219437605,0.014111591459462185,0.01,False
60,500,16384,32768,1800.0,ensemble_mean_l1,0.02036861576949495,0.01402906162926328,0.006339554140231671,0.011691059809112338,0.01,False
60,500,16384,32768,1800.0,golovin_relative_error_radius_moment_0_m3,0.002654678794098956,0.001507440115043185,0.0011472386790557711,0.0046115925549844155,0.01,True
60,500,16384,32768,1800.0,golovin_relative_error_radius_moment_6_um6_m3,0.001477493200031745,-0.0017575764535436244,0.0032350696535753693,0.01581918941184676,0.01,False
60,500,16384,32768,2400.0,ensemble_mean_l1,0.01961663740152843,0.013285364923726149,0.006331272477802283,0.011993505148126627,0.01,False
60,500,16384,32768,2400.0,golovin_relative_error_radius_moment_0_m3,0.0012559144814095018,0.0017245140873109763,0.0004685996059014745,0.004372524212086177,0.01,True
60,500,16384,32768,2400.0,golovin_relative_error_radius_moment_6_um6_m3,0.007358779539745136,-0.006704257972288143,0.014063037512033279,0.027287122213646688,0.01,False
60,500,16384,32768,3000.0,ensemble_mean_l1,0.02235357674711393,0.014921093267332854,0.007432483479781076,0.014737709754045496,0.01,False
60,500,16384,32768,3000.0,golovin_relative_error_radius_moment_0_m3,0.0014223614477663978,0.0015510871144314006,0.00012872566666500282,0.004291430801936302,0.01,True
60,500,16384,32768,3000.0,golovin_relative_error_radius_moment_6_um6_m3,0.0012647990620637004,-0.011527533909663846,0.012792332971727546,0.028721103708589126,0.01,False
60,500,16384,32768,3600.0,ensemble_mean_l1,0.026471115275496285,0.01987914508200903,0.0065919701934872565,0.015075125091570777,0.01,False
60,500,16384,32768,3600.0,golovin_relative_error_radius_moment_0_m3,0.001233730769103227,0.0011528015976281355,8.092917147509149e-05,0.004415368496806598,0.01,True
60,500,16384,32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,0.007246517391309029,-0.011039623968247252,0.01828614135955628,0.038712967980245844,0.01,False
60,500,32768,65536,600.0,ensemble_mean_l1,0.011618154438270708,0.008315278869523823,0.003302875568746885,0.007613080509480142,0.01,True
60,500,32768,65536,600.0,golovin_relative_error_radius_moment_0_m3,0.00127196668114156,-0.0003073149654494104,0.0015792816465909705,0.0033111479777301616,0.01,True
60,500,32768,65536,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.00161327161021488,-0.003204579054287691,0.001591307444072811,0.00680947066863446,0.01,True
60,500,32768,65536,1200.0,ensemble_mean_l1,0.013095067433889353,0.008844250065525397,0.004250817368363956,0.008329105176600186,0.01,True
60,500,32768,65536,1200.0,golovin_relative_error_radius_moment_0_m3,0.0010933157222703881,-0.00012602858071302975,0.001219344302983418,0.003403903873566693,0.01,True
60,500,32768,65536,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0015398865870567546,-0.0051380497084184485,0.003598163121361694,0.011045047846342282,0.01,False
60,500,32768,65536,1800.0,ensemble_mean_l1,0.01402906162926328,0.011455162308425198,0.002573899320838081,0.006895125293141599,0.01,True
60,500,32768,65536,1800.0,golovin_relative_error_radius_moment_0_m3,0.001507440115043185,-0.0005900125234390985,0.002097452638482283,0.004373833466491995,0.01,True
60,500,32768,65536,1800.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0017575764535436244,-0.00653418387421202,0.004776607420668396,0.014164481344815258,0.01,False
60,500,32768,65536,2400.0,ensemble_mean_l1,0.013285364923726149,0.011184939962752686,0.0021004249609734623,0.006909087650977503,0.01,True
60,500,32768,65536,2400.0,golovin_relative_error_radius_moment_0_m3,0.0017245140873109763,-0.000745672799492845,0.0024701868868038214,0.004956166544545653,0.01,True
60,500,32768,65536,2400.0,golovin_relative_error_radius_moment_6_um6_m3,-0.006704257972288143,-0.006901514140327554,0.0001972561680394112,0.01258345138354951,0.01,False
60,500,32768,65536,3000.0,ensemble_mean_l1,0.014921093267332854,0.011707737921822002,0.003213355345510852,0.009162092206677819,0.01,True
60,500,32768,65536,3000.0,golovin_relative_error_radius_moment_0_m3,0.0015510871144314006,-0.0007188941917639802,0.0022699813061953806,0.004710361020060949,0.01,True
60,500,32768,65536,3000.0,golovin_relative_error_radius_moment_6_um6_m3,-0.011527533909663846,-0.004898841039207874,0.0066286928704559715,0.019623736613278223,0.01,False
60,500,32768,65536,3600.0,ensemble_mean_l1,0.01987914508200903,0.013253129742344497,0.006626015339664532,0.012560978325738398,0.01,False
60,500,32768,65536,3600.0,golovin_relative_error_radius_moment_0_m3,0.0011528015976281355,-0.0008962174258742258,0.0020490190235023615,0.0045351939960865525,0.01,True
60,500,32768,65536,3600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.011039623968247252,-0.004177020168322367,0.006862603799924884,0.023311691837443506,0.01,False
60,500,65536,131072,600.0,ensemble_mean_l1,0.008315278869523823,0.005409802659599748,0.0029054762099240752,0.005807517785984301,0.01,True
60,500,65536,131072,600.0,golovin_relative_error_radius_moment_0_m3,-0.0003073149654494104,-0.0006687205642848563,0.0003614055988354459,0.0015590505429661174,0.01,True
60,500,65536,131072,600.0,golovin_relative_error_radius_moment_6_um6_m3,-0.003204579054287691,-0.0010802279297083643,0.002124351124579327,0.005820372813027241,0.01,True
60,500,65536,131072,1200.0,ensemble_mean_l1,0.008844250065525397,0.006065312526733922,0.0027789375387914754,0.005525478108233045,0.01,True
60,500,65536,131072,1200.0,golovin_relative_error_radius_moment_0_m3,-0.00012602858071302975,-0.0010257817516953704,0.0008997531709823406,0.0024901997161363063,0.01,True
60,500,65536,131072,1200.0,golovin_relative_error_radius_moment_6_um6_m3,-0.0051380497084184485,0.00048573321333870897,0.0056237829217571575,0.011180302878108445,0.01,False
60,500,65536,131072,1800.0,ensemble_mean_l1,0.011455162308425198,0.010180411570186083,0.0012747507382391155,0.004024898405681562,0.01,True
