max_superdroplets,time_s,metric,ensemble_members,point_estimate,bootstrap_variance_of_estimate,variance_coefficient_n_times_variance
32768,3000.0,ensemble_mean_l1,80,0.013338337308167069,1.8244571025148227e-06,0.00014595656820118582
32768,3000.0,golovin_relative_error_radius_moment_0_m3,80,0.0007439475761341297,1.456564802186531e-06,0.00011652518417492248
32768,3000.0,golovin_relative_error_radius_moment_6_um6_m3,80,-0.003908999611298945,3.348813736673833e-05,0.002679050989339066
32768,3000.0,ensemble_mean_l1,100,0.012472006807493243,1.5491104337450222e-06,0.0001549110433745022
32768,3000.0,golovin_relative_error_radius_moment_0_m3,100,0.00023911018612389977,1.2032573707090622e-06,0.00012032573707090622
32768,3000.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.006778250298888222,2.5292212767613733e-05,0.0025292212767613733
32768,3600.0,ensemble_mean_l1,40,0.02383215109816364,7.054665845716244e-06,0.00028218663382864975
32768,3600.0,golovin_relative_error_radius_moment_0_m3,40,0.002430675947166705,1.8756690211380554e-06,7.502676084552222e-05
32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,40,-0.020379346144741295,9.003015848475195e-05,0.003601206339390078
32768,3600.0,ensemble_mean_l1,60,0.01987914508200903,4.14193781758886e-06,0.0002485162690553316
32768,3600.0,golovin_relative_error_radius_moment_0_m3,60,0.0011528015976281355,1.5009746579912784e-06,9.005847947947671e-05
32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,60,-0.011039623968247252,7.19663515344825e-05,0.00431798109206895
32768,3600.0,ensemble_mean_l1,80,0.015401656184357649,3.1078485149931967e-06,0.0002486278811994557
32768,3600.0,golovin_relative_error_radius_moment_0_m3,80,0.000592270674812713,1.4800872406923564e-06,0.0001184069792553885
32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,80,-0.00559325354935942,5.410596131918947e-05,0.004328476905535158
32768,3600.0,ensemble_mean_l1,100,0.014248486720068669,2.10700508458153e-06,0.00021070050845815302
32768,3600.0,golovin_relative_error_radius_moment_0_m3,100,0.0001377764401125481,1.2522464165862352e-06,0.0001252246416586235
32768,3600.0,golovin_relative_error_radius_moment_6_um6_m3,100,-0.007841639495511848,4.168065398973674e-05,0.004168065398973674
